,mean_abs_shap
hist_severe_3y,0.7821636240468861
weather,0.545038573666531
traffic_density,0.19358741094020027
exposure,0.15499372783765647
district,0.0932834418823578
is_peak_hour,0.09264564260115357
visibility,0.06552510000230738
curvature_deg,0.04527782093998986
speed_limit_kmh,0.03531563574098558
road_class,0.03077645047942273
is_blackspot,0.029907248056984026
hour_of_week,0.0296797582672906
hour,0.02693062231826408
gradient_pct,0.02635513182724096
junction_count,0.02483768758531576
solar_elev,0.01509361322488952
lanes,0.015005782271492527
has_median,0.014738239946737687
is_night,0.014019601049375528
is_urban,0.007147527078837495
is_lit,0.006388433602976782
district_fatal_share,0.0047554315637382836
district_heavy_share,0.0037895793111358735
district_total_2021,0.003619442020088125
district_vru_share,0.003564035516796582
district_yoy,0.003176558900507332
unlit_night,0.0031739695487471072
dow,0.0031237451609710085
is_weekend,0.0003748701255359714
